#                                                                          running time (s)                 
#                                                                   -------------------------------          
# idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ---  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
    1  267608      1536        1     1430     no   1829.07       -       0.59       0.12       1.20     37.50
    2  575587      1526        8     1425  5'&3'   1833.33       -       0.53       0.10       1.09     37.09
    3  257363      1499        1     1430     no   1820.94       -       0.49       0.11       1.04     36.62
    4  391008      1547        1     1430     no   1850.13       -       0.50       0.11       1.07     37.75
    5  190650      1484        1     1430     no   1856.67       -       0.49       0.10       1.02     36.15
    6  718254      1541        1     1430     no   1861.50       -       0.51       0.12       1.08     37.71
    7  575589      1525        8     1425  5'&3'   1836.60       -       0.51       0.10       1.06     37.04
    8  1050720     1473        8     1425  5'&3'   1841.95       -       0.48       0.11       1.02     35.90
    9  317655      1489        1     1430     no   1835.63       -       0.48       0.11       1.02     36.38
   10  360911      1563        1     1430     no   1877.47       -       0.51       0.10       1.07     37.97
   11  441620      1485        1     1430     no   1837.11       -       0.49       0.11       1.04     36.29
   12  74546       1485        1     1430     no   1838.95       -       0.49       0.10       1.03     36.21
   13  439497      1269       61     1317  5'&3'   1553.08       -       0.35       0.11       0.83     29.60
   14  684719      1474        8     1425  5'&3'   1761.10       -       0.49       0.11       1.04     36.00
   15  314275      1540        1     1430     no   1807.49       -       0.58       0.12       1.16     37.80
   16  543728      1535        1     1430     no   1817.06       -       0.58       0.11       1.14     37.52
   17  633149      1461        1     1430     no   1805.65       -       0.58       0.11       1.12     35.94
   18  31964       1521        1     1430     no   1860.70       -       0.56       0.11       1.11     37.05
   19  198094      1552        1     1430     no   1912.09       -       0.54       0.09       1.09     37.67
   20  985665      1559        1     1430     no   1879.69       -       0.53       0.11       1.09     37.90
   21  525365      1552        8     1425  5'&3'   1839.32       -       0.52       0.11       1.08     37.62
   22  714313      1578        1     1430     no   1857.17       -       0.53       0.11       1.09     38.43
   23  634452      1488        1     1430     no   1815.97       -       0.49       0.11       1.02     36.39
   24  349163      1491        1     1430     no   1821.23       -       0.48       0.11       1.01     36.44
   25  595536      1369       19     1349  5'&3'   1706.19       -       0.41       0.10       0.90     32.30
   26  395019      1533        1     1430     no   1839.22       -       0.51       0.11       1.06     37.51
   27  243365      1536        1     1430     no   1834.03       -       0.51       0.11       1.05     37.38
   28  444177      1553        1     1430     no   1888.90       -       0.52       0.10       1.06     37.73
   29  987059      1531        1     1430     no   1832.31       -       0.52       0.11       1.06     37.31
   30  525146      1551        1     1430     no   1829.83       -       0.52       0.11       1.07     37.82
   31  911104      1584        2     1430     5'   1859.58       -       0.54       0.10       1.09     38.50
   32  595494      1546        1     1430     no   1856.55       -       0.51       0.11       1.06     37.75
   33  596154      1529        1     1430     no   1808.82       -       0.56       0.11       1.10     37.44
   34  382245      1545        1     1430     no   1875.83       -       0.52       0.11       1.07     37.70
   35  522306      1538        1     1430     no   1833.93       -       0.51       0.11       1.06     37.50
   36  330214      1539        1     1430     no   1777.88       -       0.51       0.12       1.06     37.65
   37  743720      1536        1     1430     no   1876.02       -       0.52       0.11       1.06     37.47
   38  290340      1523        1     1430     no   1843.76       -       0.51       0.10       1.05     37.08
   39  436717      1547        1     1430     no   1790.60       -       0.55       0.11       1.09     37.88
   40  234621      1518        1     1430     no   1863.27       -       0.55       0.10       1.07     36.93
   41  570417      1504        1     1430     no   1755.61       -       0.53       0.12       1.08     37.01
   42  891974      1542        1     1430     no   1860.61       -       0.56       0.11       1.11     37.77
   43  420890      1549        1     1430     no   1864.46       -       0.55       0.11       1.10     37.79
   44  1028307     1541        1     1430     no   1851.18       -       0.54       0.12       1.08     37.74
   45  529507      1542        2     1430     5'   1855.54       -       0.54       0.12       1.09     37.73
   46  658655      1519        8     1425  5'&3'   1838.89       -       0.53       0.10       1.06     36.90
   47  446468      1533        1     1430     no   1827.94       -       0.53       0.11       1.07     37.45
   48  411468      1523        8     1425  5'&3'   1830.46       -       0.55       0.11       1.09     37.04
   49  470146      1519        8     1425  5'&3'   1841.87       -       0.52       0.11       1.05     36.87
   50  457412      1515        8     1425  5'&3'   1811.18       -       0.51       0.12       1.06     36.89
   51  457425      1527        1     1430     no   1882.31       -       0.52       0.10       1.06     37.14
   52  1042163     1524        8     1425  5'&3'   1879.00       -       0.52       0.10       1.05     36.94
   53  390333      1565        1     1430     no   1863.58       -       0.53       0.10       1.07     38.07
   54  535289      1529        1     1430     no   1809.85       -       0.51       0.12       1.07     37.43
   55  313627      1541        3     1423  5'&3'   1900.79       -       0.51       0.10       1.04     37.32
   56  979556      1522        1     1430     no   1841.15       -       0.52       0.10       1.05     37.06
   57  290399      1527        1     1430     no   1842.24       -       0.52       0.10       1.05     37.14
   58  452863      1522        1     1430     no   1850.62       -       0.55       0.10       1.08     37.00
   59  471874      1541        2     1430     5'   1839.28       -       0.52       0.12       1.08     37.70
   60  556261      1521        8     1425  5'&3'   1852.62       -       0.55       0.10       1.08     36.92
   61  742767      1488        8     1398  5'&3'   1627.44       -       0.51       0.13       1.05     36.22
   62  76114       1538        1     1430     no   1842.73       -       0.52       0.11       1.07     37.57
