Total Sequences	125
Alignment Model	Unspecified
Alignment Reference Sequence	(none)
All gap sequences	1
Average number of comparable positions	1272
Average sequence length (model position only)	1275

Sequence Id	Start position	End position
155864	1	1430
203120	1	1430
470146	8	1425
349741	1	1430
445970	8	1425
445972	8	1425
411901	26	494
470145	8	1425
547042	8	1425
483216	8	1425
483215	8	1425
457424	171	1430
471870	8	1425
411476	26	494
483218	8	1425
484018	8	1234
449673	11	1430
226186	1	1430
435590	1	1430
657309	22	1387
367928	1	1430
206672	1	1430
547043	8	1425
537007	2	1374
511680	6	1430
445973	26	1381
411902	848	1430
428125	26	494
537013	8	1425
411468	8	1425
411489	930	1429
411903	926	1371
411474	617	1429
411461	8	1425
411462	26	494
518637	8	1425
411469	61	1425
657318	1	1430
411463	976	1430
657322	8	977
545696	235	1425
435591	1	1430
411477	26	494
537011	8	1398
411467	498	842
718255	1	1430
657321	8	1425
411470	26	494
471875	8	1425
657314	8	1049
657323	60	969
657313	1	1430
264199	1	1430
411471	8	1425
742740	8	1425
228399	8	1425
411466	797	1430
561177	8	1425
445971	8	1425
411490	8	1425
518635	8	1425
552531	1	1430
398513	4	1430
326426	1	1430
401473	1	1430
561180	8	1425
476272	8	1425
360104	1	1430
360107	1	1430
641892	1	1430
290338	1	1430
469595	8	957
272563	1	1430
553973	8	1425
195103	1	1430
357809	1	1430
445974	417	1323
457396	8	1425
428126	497	1297
521003	8	1013
445975	8	1425
290339	1	1430
411464	618	1425
883	1	1430
500639	416	1425
399742	1	1430
226185	2	1430
428127	26	494
334413	1	1430
190304	1	1430
71421	1	1430
557723	1	1430
537972	1	1430
272620	1	1430
272621	1	1430
543734	1	1430
390333	1	1430
712938	1	1430
324831	1	1430
405566	1	1430
257314	1	1430
349123	8	1430
314315	1	1430
362948	1	1430
525365	8	1425
416870	1	1430
420247	6	1427
339860	6	1427
500635	414	1425
272843	1	1430
278197	2	1430
431947	1	1430
529507	2	1430
471881	8	1425
208964	1	1430
99287	1	1430
342451	1	1430
467705	1	1430
1069533	1	1430
210007	1	1430
170187	1	1430
160490	1	1430
388919	1	1430
391295	1	1430
203267	1	1430
