TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies
267608	Ralstonia solanacearum GMI1000	Ralstonia solanacearum GMI1000	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum	1
575587	Acinetobacter junii	Acinetobacter junii SH205	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter junii	1
257363	Rickettsia typhi	Rickettsia typhi str. Wilmington	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia typhi	1
391008	Stenotrophomonas maltophilia R5513	Stenotrophomonas maltophilia R551-3	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia	1
190650	Caulobacter crescentus	Caulobacter crescentus CB15	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides	1
718254	Enterobacter cloacae NCTC9394	Enterobacter cloacae subsp. cloacae NCTC 9394	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	Enterobacter cloacae subsp. cloacae
575589	Acinetobacter radioresistens	Acinetobacter radioresistens SH164	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter radioresistens	1
1050720	Agrobacterium tumefaciens F2	Agrobacterium tumefaciens F2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	1
317655	Sphingopyxis alaskensis	Sphingopyxis alaskensis RB2256	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis alaskensis	1
360911	Exiguobacterium sp. AT1b	Exiguobacterium sp. AT1b	Bacteria	Firmicutes	Bacilli	Bacillales	1	Exiguobacterium	1	1
441620	Methylobacterium populi	Methylobacterium populi BJ001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium populi	1
74546	Prochlorococcus marinus MIT9312	Prochlorococcus marinus str. MIT 9312	Bacteria	Cyanobacteria	1	Prochlorales	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus	1
439497	Ruegeria sp. R11	Ruegeria sp. R11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	1	1
684719	alpha proteobacterium HIMB114	alpha proteobacterium HIMB114	Bacteria	Proteobacteria	Alphaproteobacteria	1	1	1	1	1
314275	Alteromonas macleodii	Alteromonas macleodii str. Deep ecotype	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas macleodii	1
543728	Variovorax paradoxus S110	Variovorax paradoxus S110	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax paradoxus	1
633149	Brevundimonas subvibrioides	Brevundimonas subvibrioides ATCC 15264	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas subvibrioides	1
31964	Clavibacter michiganensis sepedonicus	Clavibacter michiganensis subsp. sepedonicus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Clavibacter	Clavibacter michiganensis	1
198094	Bacillus anthracis Ames	Bacillus anthracis str. Ames	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis	1
985665	Paenibacillus terrae	Paenibacillus terrae HPL-003	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus terrae	1
525365	Lactobacillus ultunensis	Lactobacillus ultunensis DSM 16047	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus ultunensis	1
714313	Lactobacillus sanfranciscensis	Lactobacillus sanfranciscensis TMW 1.1304	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sanfranciscensis	1
634452	Acetobacter pasteurianus	Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus	Acetobacter pasteurianus subsp. pasteurianus
349163	Acidiphilium cryptum	Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium cryptum	1
595536	Methylosinus trichosporium	Methylosinus trichosporium OB3b	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylosinus	Methylosinus trichosporium	1
395019	Burkholderia multivorans	Burkholderia multivorans ATCC 17616	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia multivorans	1
243365	Chromobacterium violaceum	Chromobacterium violaceum ATCC 12472	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum	1
444177	Lysinibacillus sphaericus	Lysinibacillus sphaericus C3-41	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus sphaericus	1
987059	Rubrivivax benzoatilyticus	Rubrivivax benzoatilyticus JA2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	1	Rubrivivax	Rubrivivax benzoatilyticus	1
525146	Desulfovibrio desulfuricans ATCC27774	Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio desulfuricans	Desulfovibrio desulfuricans subsp. desulfuricans
911104	Weissella cibaria	Weissella cibaria KACC 11862	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella cibaria	1
595494	Tolumonas auensis	Tolumonas auensis DSM 9187	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	Tolumonas auensis	1
596154	Alicycliphilus denitrificans	Alicycliphilus denitrificans K601	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Alicycliphilus	Alicycliphilus denitrificans	1
382245	Aeromonas salmonicida	Aeromonas salmonicida subsp. salmonicida A449	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida	Aeromonas salmonicida subsp. salmonicida
522306	Accumulibacter phosphatis	Candidatus Accumulibacter phosphatis clade IIA str. UW-1	Bacteria	Proteobacteria	Betaproteobacteria	1	1	Candidatus Accumulibacter	Candidatus Accumulibacter phosphatis	1
330214	Nitrospira defluvii	Candidatus Nitrospira defluvii	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	1	1
743720	Pseudomonas fulva	Pseudomonas fulva 12-X	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fulva	1
290340	Arthrobacter aurescens	Arthrobacter aurescens TC1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter aurescens	1
436717	Acinetobacter oleivorans	Acinetobacter oleivorans DR1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	1
234621	Rhodococcus erythropolis	Rhodococcus erythropolis PR4	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus erythropolis	1
570417	Wolbachia sp. Cq	Wolbachia endosymbiont of Culex quinquefasciatus Pel	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus	1
891974	Plautia stali	Plautia stali symbiont	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	1	1	1
420890	Lactococcus garvieae	Lactococcus garvieae Lg2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus garvieae	1
1028307	Enterobacter aerogenes	Enterobacter aerogenes KCTC 2190	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter aerogenes	1
529507	Proteus mirabilis	Proteus mirabilis HI4320	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Proteus	Proteus mirabilis	1
658655	Lachnospiraceae bacterium 1456FAA	Lachnospiraceae bacterium 1_4_56FAA	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	1	1	1
446468	Nocardiopsis dassonvillei	Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis dassonvillei	Nocardiopsis dassonvillei subsp. dassonvillei
411468	Clostridium scindens	Clostridium scindens ATCC 35704	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Clostridium scindens	1
470146	Coprococcus comes	Coprococcus comes ATCC 27758	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus comes	1
457412	Ruminococcus sp. 5139BFAA	Ruminococcus sp. 5_1_39BFAA	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	1	1
457425	Streptomyces albus	Streptomyces albus J1074	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albus	1
1042163	Brevibacillus laterosporus	Brevibacillus laterosporus LMG 15441	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus	1
390333	Lactobacillus delbrueckii	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii	Lactobacillus delbrueckii subsp. bulgaricus
535289	Acidovorax ebreus	Acidovorax ebreus TPSY	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax ebreus	1
313627	Bacillus sp. NRRLB14911	Bacillus sp. NRRL B-14911	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	1	1
979556	Microbacterium testaceum	Microbacterium testaceum StLB037	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium testaceum	1
290399	Arthrobacter sp. FB24	Arthrobacter sp. FB24	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	1	1
452863	Arthrobacter chlorophenolicus	Arthrobacter chlorophenolicus A6	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter chlorophenolicus	1
471874	Providencia stuartii	Providencia stuartii ATCC 25827	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia	Providencia stuartii	1
556261	Clostridium sp. D5	Clostridium sp. D5	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	1	1
742767	Dysgonomonas mossii	Dysgonomonas mossii DSM 22836	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Dysgonomonas	Dysgonomonas mossii	1
76114	Aromatoleum aromaticum	Aromatoleum aromaticum EbN1	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Aromatoleum	Aromatoleum aromaticum	1
216432	Croceibacter atlanticus	Croceibacter atlanticus HTCC2559	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Croceibacter	Croceibacter atlanticus	1
313594	Polaribacter irgensii	Polaribacter irgensii 23-P	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter irgensii	1
391626	Octadecabacter antarcticus 307	Octadecabacter antarcticus 307	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Octadecabacter	Octadecabacter antarcticus	1
1002672	Pelagibacter sp. IMCC9063	Candidatus Pelagibacter sp. IMCC9063	Bacteria	Proteobacteria	Alphaproteobacteria	1	1	Candidatus Pelagibacter	1	1
393595	Alcanivorax borkumensis	Alcanivorax borkumensis SK2	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax borkumensis	1
667129	Serratia odorifera DSM4582	Serratia odorifera DSM 4582	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Serratia odorifera	1
675813	Vibrio metschnikovii	Vibrio metschnikovii CIP 69.14	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio metschnikovii	1
287752	Aurantimonas manganoxydans	Aurantimonas manganoxydans SI85-9A1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aurantimonas	Aurantimonas manganoxydans	1
158878	Staphylococcus aureus Mu50	Staphylococcus aureus subsp. aureus Mu50	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	Staphylococcus aureus subsp. aureus
220664	Pseudomonas fluorescens Pf5	Pseudomonas fluorescens Pf-5	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	1
283942	Idiomarina loihiensis	Idiomarina loihiensis L2TR	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina loihiensis	1
188626	Dermacoccus sp. Ellin185	Dermacoccus sp. Ellin185	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Dermacoccus	1	1
875328	Mycobacterium sp. JDM601	Mycobacterium sp. JDM601	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	1	1
228405	Hyphomonas neptunium	Hyphomonas neptunium ATCC 15444	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hyphomonas	Hyphomonas neptunium	1
645127	Corynebacterium kroppenstedtii	Corynebacterium kroppenstedtii DSM 44385	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium kroppenstedtii	1
365046	Ramlibacter tataouinensis	Ramlibacter tataouinensis TTB310	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter tataouinensis	1
765698	Mesorhizobium ciceri	Mesorhizobium ciceri biovar biserrulae WSM1271	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium ciceri	1
411684	Hoeflea phototrophica	Hoeflea phototrophica DFL-43	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Hoeflea	Hoeflea phototrophica	1
314262	Roseobacter sp. MED193	Roseobacter sp. MED193	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	1	1
243230	Deinococcus radiodurans	Deinococcus radiodurans R1	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus radiodurans	1
313589	Janibacter sp. HTCC2649	Janibacter sp. HTCC2649	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Janibacter	1	1
685727	Rhodococcus equi	Rhodococcus equi 103S	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus equi	1
208596	Carnobacterium sp. 174	Carnobacterium sp. 17-4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	1	1
634499	Erwinia pyrifoliae	Erwinia pyrifoliae Ep1/96	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Erwinia	Erwinia pyrifoliae	1
634500	Erwinia billingiae	Erwinia billingiae Eb661	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Erwinia	Erwinia billingiae	1
592316	Pantoea sp. At9b	Pantoea sp. At-9b	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea	1	1
706191	Pantoea ananatis	Pantoea ananatis LMG 20103	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea	Pantoea ananatis	1
626369	Granulicatella elegans	Granulicatella elegans ATCC 700633	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella elegans	1
349520	Paenibacillus polymyxa E681	Paenibacillus polymyxa E681	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus polymyxa	1
378753	Kocuria rhizophila	Kocuria rhizophila DC2201	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	Kocuria rhizophila	1
675814	Vibrio coralliilyticus	Vibrio coralliilyticus ATCC BAA-450	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio coralliilyticus	1
345073	Vibrio cholerae O395	Vibrio cholerae O395	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae	1
391574	Vibrionales bacterium SWAT3	Vibrionales bacterium SWAT-3	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	1	1	1	1
478801	Kytococcus sedentarius	Kytococcus sedentarius DSM 20547	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Kytococcus	Kytococcus sedentarius	1
