TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies
469615	Fusobacterium gonidiaformans	Fusobacterium gonidiaformans ATCC 25563	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium gonidiaformans	1
469616	Fusobacterium mortiferum	Fusobacterium mortiferum ATCC 9817	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium mortiferum	1
469617	Fusobacterium ulcerans	Fusobacterium ulcerans ATCC 49185	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium ulcerans	1
469618	Fusobacterium varium	Fusobacterium varium ATCC 27725	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium varium	1
470145	Bacteroides coprocola	Bacteroides coprocola DSM 17136	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides coprocola	1
470146	Coprococcus comes	Coprococcus comes ATCC 27758	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus comes	1
471223	Geobacillus sp. WCH70	Geobacillus sp. WCH70	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	1	1
471821	uncultured Tg1 bacterium RsD17	uncultured Termite group 1 bacterium phylotype Rs-D17	Bacteria	Elusimicrobia	1	1	1	1	uncultured Termite group 1 bacterium	1
471852	Thermomonospora curvata	Thermomonospora curvata DSM 43183	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Thermomonospora	Thermomonospora curvata	1
471853	Beutenbergia cavernae	Beutenbergia cavernae DSM 12333	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Beutenbergiaceae	Beutenbergia	Beutenbergia cavernae	1
471854	Dyadobacter fermentans	Dyadobacter fermentans DSM 18053	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	Dyadobacter fermentans	1
471855	Slackia heliotrinireducens	Slackia heliotrinireducens DSM 20476	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	Slackia heliotrinireducens	1
471856	Jonesia denitrificans	Jonesia denitrificans DSM 20603	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Jonesiaceae	Jonesia	Jonesia denitrificans	1
471857	Saccharomonospora viridis	Saccharomonospora viridis DSM 43017	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	Saccharomonospora viridis	1
471870	Bacteroides intestinalis	Bacteroides intestinalis DSM 17393	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis	1
471874	Providencia stuartii	Providencia stuartii ATCC 25827	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia	Providencia stuartii	1
471875	Ruminococcus lactaris	Ruminococcus lactaris ATCC 29176	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus lactaris	1
471881	Proteus penneri	Proteus penneri ATCC 35198	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Proteus	Proteus penneri	1
472759	Nitrosococcus halophilus	Nitrosococcus halophilus Nc4	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus	Nitrosococcus halophilus	1
476272	Blautia hydrogenotrophica	Blautia hydrogenotrophica DSM 10507	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia hydrogenotrophica	1
477974	Desulforudis audaxviator	Candidatus Desulforudis audaxviator MP104C	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Candidatus Desulforudis	Candidatus Desulforudis audaxviator	1
478749	Marvinbryantia formatexigens	Marvinbryantia formatexigens DSM 14469	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	Marvinbryantia formatexigens	1
478801	Kytococcus sedentarius	Kytococcus sedentarius DSM 20547	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Kytococcus	Kytococcus sedentarius	1
479431	Nakamurella multipartita	Nakamurella multipartita DSM 44233	Bacteria	Actinobacteria	Actinobacteria	Nakamurellales	Nakamurellaceae	Nakamurella	Nakamurella multipartita	1
479432	Streptosporangium roseum	Streptosporangium roseum DSM 43021	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium	Streptosporangium roseum	1
479433	Catenulispora acidiphila	Catenulispora acidiphila DSM 44928	Bacteria	Actinobacteria	Actinobacteria	Catenulisporales	Catenulisporaceae	Catenulispora	Catenulispora acidiphila	1
479434	Sphaerobacter thermophilus	Sphaerobacter thermophilus DSM 20745	Bacteria	Chloroflexi	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Sphaerobacter	Sphaerobacter thermophilus	1
479435	Kribbella flavida	Kribbella flavida DSM 17836	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella	Kribbella flavida	1
479436	Veillonella parvula	Veillonella parvula DSM 2008	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella parvula	1
479437	Eggerthella lenta	Eggerthella lenta DSM 2243	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Eggerthella lenta	1
481448	Methylacidiphilum infernorum	Methylacidiphilum infernorum V4	Bacteria	Verrucomicrobia	1	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	Methylacidiphilum infernorum	1
481743	Paenibacillus sp. Y412MC10	Paenibacillus sp. Y412MC10	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	1	1
481805	Escherichia coli ATCC8739	Escherichia coli ATCC 8739	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	1
483215	Bacteroides finegoldii	Bacteroides finegoldii DSM 17565	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides finegoldii	1
483216	Bacteroides eggerthii	Bacteroides eggerthii DSM 20697	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides eggerthii	1
483218	Bacteroides pectinophilus	Bacteroides pectinophilus ATCC 43243	Bacteria	Firmicutes	Clostridia	Clostridiales	1	1	Bacteroides pectinophilus	1
483219	Myxococcus fulvus	Myxococcus fulvus HW-1	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus fulvus	1
484018	Bacteroides plebeius	Bacteroides plebeius DSM 17135	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides plebeius	1
484019	Thermosipho africanus	Thermosipho africanus TCF52B	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Thermosipho	Thermosipho africanus	1
484022	Francisella philomiragia	Francisella philomiragia subsp. philomiragia ATCC 25017	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella philomiragia	1
485913	Ktedonobacter racemifer	Ktedonobacter racemifer DSM 44963	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	Ktedonobacter racemifer	1
485914	Halomicrobium mukohataei	Halomicrobium mukohataei DSM 12286	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halomicrobium	Halomicrobium mukohataei	1
485915	Desulfohalobium retbaense	Desulfohalobium retbaense DSM 5692	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfohalobium	Desulfohalobium retbaense	1
485916	Desulfotomaculum acetoxidans	Desulfotomaculum acetoxidans DSM 771	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	Desulfotomaculum acetoxidans	1
485917	Pedobacter heparinus	Pedobacter heparinus DSM 2366	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter heparinus	1
485918	Chitinophaga pinensis	Chitinophaga pinensis DSM 2588	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Chitinophaga	Chitinophaga pinensis	1
486041	Laccaria bicolor	Laccaria bicolor S238N H82	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Laccaria bicolor	1
487796	Flavobacteria bacterium MS0242A	Flavobacteria bacterium MS024-2A	Bacteria	Bacteroidetes	Flavobacteriia	1	1	1	1	1
487797	Flavobacteria bacterium MS0243C	Flavobacteria bacterium MS024-3C	Bacteria	Bacteroidetes	Flavobacteriia	1	1	1	1	1
488538	Puniceispirillum marinum	Candidatus Puniceispirillum marinum IMCC1322	Bacteria	Proteobacteria	Alphaproteobacteria	1	1	Candidatus Puniceispirillum	Candidatus Puniceispirillum marinum	1
489653	Neisseria lactamica	Neisseria lactamica 020-06	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria lactamica	1
489825	Moorea producta	Moorea producta 3L	Bacteria	Cyanobacteria	1	Oscillatoriales	1	Moorea	Moorea producens	1
490899	Desulfurococcus kamchatkensis	Desulfurococcus kamchatkensis 1221n	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus kamchatkensis	1
491915	Anoxybacillus flavithermus	Anoxybacillus flavithermus WK1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	Anoxybacillus flavithermus	1
491916	Rhizobium etli CIAT652	Rhizobium etli CIAT 652	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium etli	1
491952	Marinomonas posidonica	Marinomonas posidonica IVIA-Po-181	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	Marinomonas posidonica	1
496833	Mycoplasma fermentans	Mycoplasma fermentans PG18	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma fermentans	1
497964	Chthoniobacter flavus	Chthoniobacter flavus Ellin428	Bacteria	Verrucomicrobia	Spartobacteria	1	1	Chthoniobacter	Chthoniobacter flavus	1
497965	Cyanothece sp. PCC7822	Cyanothece sp. PCC 7822	Bacteria	Cyanobacteria	1	Chroococcales	1	Cyanothece	1	1
498211	Cellvibrio japonicus	Cellvibrio japonicus Ueda107	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Cellvibrio	Cellvibrio japonicus	1
498217	Edwardsiella tarda	Edwardsiella tarda EIB202	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Edwardsiella	Edwardsiella tarda	1
498742	Borrelia spielmanii	Borrelia spielmanii A14S	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia spielmanii	1
498761	Heliobacterium modesticaldum	Heliobacterium modesticaldum Ice1	Bacteria	Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae	Heliobacterium	Heliobacterium modesticaldum	1
498848	Thermus aquaticus	Thermus aquaticus Y51MC23	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus	Thermus aquaticus	1
499177	Clostridium sticklandii	Clostridium sticklandii DSM 519	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium	Clostridium sticklandii	1
499229	Tepidanaerobacter sp. Re1	Tepidanaerobacter sp. Re1	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Tepidanaerobacter	1	1
500485	Penicillium chrysogenum	Penicillium chrysogenum Wisconsin 54 1255	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium rubens	1
500633	Clostridium hiranonis	Clostridium hiranonis DSM 13275	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium	Clostridium hiranonis	1
500635	Mitsuokella multacida	Mitsuokella multacida DSM 20544	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella	Mitsuokella multacida	1
500637	Providencia rustigianii	Providencia rustigianii DSM 4541	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia	Providencia rustigianii	1
500639	Enterobacter cancerogenus	Enterobacter cancerogenus ATCC 35316	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter cancerogenus	1
500640	Citrobacter youngae	Citrobacter youngae ATCC 29220	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	Citrobacter youngae	1
501479	Citreicella sp. SE45	Citreicella sp. SE45	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Citreicella	1	1
502025	Haliangium ochraceum	Haliangium ochraceum DSM 14365	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Kofleriaceae	Haliangium	Haliangium ochraceum	1
502347	Escherichia albertii	Escherichia albertii TW07627	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia albertii	1
502558	Eggerthella sp. YY7918	Eggerthella sp. YY7918	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	1	1
502779	Paracoccidioides sp. lutzii	Paracoccidioides sp. lutzii Pb01	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	1	Paracoccidioides	Paracoccidioides sp. 'lutzii'	1
504472	Spirosoma linguale	Spirosoma linguale DSM 74	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	Spirosoma linguale	1
504474	Corynebacterium urealyticum	Corynebacterium urealyticum DSM 7109	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium urealyticum	1
504728	Meiothermus ruber	Meiothermus ruber DSM 1279	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Meiothermus	Meiothermus ruber	1
504832	Oligotropha carboxidovorans	Oligotropha carboxidovorans OM5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Oligotropha	Oligotropha carboxidovorans	1
506534	Rheinheimera sp. A13L	Rheinheimera sp. A13L	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera	1	1
509190	Caulobacter segnis	Caulobacter segnis ATCC 21756	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter segnis	1
509191	Acetivibrio cellulolyticus	Acetivibrio cellulolyticus CD2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio	Acetivibrio cellulolyticus	1
511062	Oceanimonas sp. GK1	Oceanimonas sp. GK1	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanimonas	1	1
511145	Escherichia coli K12 MG1655	Escherichia coli str. K-12 substr. MG1655	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	1
511437	Lactobacillus buchneri NRRLB30929	Lactobacillus buchneri NRRL B-30929	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus buchneri	1
511680	Butyrivibrio crossotus	Butyrivibrio crossotus DSM 2876	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio crossotus	1
511995	Azobacteroides pseudotrichonymphae	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	1	Candidatus Azobacteroides	Candidatus Azobacteroides pseudotrichonymphae	1
512564	Mycoplasma crocodyli	Mycoplasma crocodyli MP145	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma crocodyli	1
513049	Arthrospira maxima	Arthrospira maxima CS-328	Bacteria	Cyanobacteria	1	Oscillatoriales	1	Arthrospira	Arthrospira maxima	1
515618	Riesia pediculicola	Candidatus Riesia pediculicola USDA	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Candidatus Riesia	Candidatus Riesia pediculicola	1
515620	Eubacterium eligens	Eubacterium eligens ATCC 27750	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium eligens	1
515622	Butyrivibrio proteoclasticus	Butyrivibrio proteoclasticus B316	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio proteoclasticus	1
515635	Dictyoglomus turgidum	Dictyoglomus turgidum DSM 6724	Bacteria	Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus	Dictyoglomus turgidum	1
515849	Podospora anserina	Podospora anserina S mat	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora anserina	1
517417	Chlorobaculum parvum	Chlorobaculum parvum NCIB 8327	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	Chlorobaculum parvum	1
517418	Chloroherpeton thalassium	Chloroherpeton thalassium ATCC 35110	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chloroherpeton	Chloroherpeton thalassium	1
517433	Pantoea sp. aB	Pantoea sp. aB	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea	1	1
517722	Citromicrobium sp. JLT1363	Citromicrobium sp. JLT1363	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Citromicrobium	1	1
518635	Bifidobacterium angulatum	Bifidobacterium angulatum DSM 20098 = JCM 7096	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum	1
518637	Eubacterium biforme	Eubacterium biforme DSM 3989	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella biformis	1
518766	Rhodothermus marinus	Rhodothermus marinus DSM 4252	Bacteria	Bacteroidetes	1	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Rhodothermus	Rhodothermus marinus	1
519441	Streptobacillus moniliformis	Streptobacillus moniliformis DSM 12112	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Streptobacillus	Streptobacillus moniliformis	1
519442	Halorhabdus utahensis	Halorhabdus utahensis DSM 12940	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorhabdus	Halorhabdus utahensis	1
520999	Providencia alcalifaciens	Providencia alcalifaciens DSM 30120	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia	Providencia alcalifaciens	1
521000	Providencia rettgeri	Providencia rettgeri DSM 1131	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia	Providencia rettgeri	1
521003	Collinsella intestinalis	Collinsella intestinalis DSM 13280	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis	1
521010	Borrelia bissettii	Borrelia bissettii DN127	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia bissettii	1
521011	Methanosphaerula palustris	Methanosphaerula palustris E1-9c	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanosphaerula	Methanosphaerula palustris	1
521045	Kosmotoga olearia	Kosmotoga olearia TBF 19.5.1	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Kosmotoga	Kosmotoga olearia	1
